FTTB-Account (WoWi): Accountname  ↑,Cluster  ↓,Ausbauzustand,Postleitzahl,Adresse,Private Wohneinheiten (U),Private Wohneinheiten (S),Private Wohneinheiten (O),Gewerbeeinheiten (U),Gewerbeeinheiten (O),Gewerbeeinheiten (S),FTTB-Opportunity (WoWi),Cluster Name,Bezirk,Quartier
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Helsingforser Straße 27,12,12,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Helsingforser Straße 25,19,18,,1,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Helsingforser Straße 23,17,17,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Marchlewskistraße 81,16,16,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Marchlewskistraße 83,13,16,,1,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.3,,10243,Marchlewskistraße 87,12,16,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.2,,10247,Rigaer Straße 92A,14,12,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.2 (S1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.2,,10247,Rigaer Straße 92,9,12,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.2 (S1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.2,,10247,Rigaer Straße 91,16,24,,1,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.2 (S1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.2,,10247,Zellestraße 15,11,12,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.2 (S1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.2,,10247,Dolziger Straße 48,11,10,,0,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.2 (S1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.2,,10247,Proskauer Straße 18,16,18,,1,,,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.2 (S1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.1,,10245,Seumestraße 30,18,20,,2,,1,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
Bewohnergenossenschaft FriedrichsHeim eG,V_Polygon 32.1,,10245,Wühlischstraße 42,20,10,,2,,2,Bewohnergenossenschaft FriedrichsHeim eG - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
BGH - Berliner Grund Hausverwaltung GmbH,V_Polygon 80.1,,10559,Birkenstraße 7,17,18,17,1,0,,BGH - Berliner Grund Hausverwaltung GmbH - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
Bm Immobilien GmbH,V_Polygon 32.2,,10247,Voigtstraße 13,19,27,,3,,3,BM IMMOBILIEN GMBH - V_POLYGON 32.2 - 30 (S1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Bogdanski Hausverwaltungs GmbH,V_Polygon 22.8,ABZ IV,12163,Markelstraße 58,15,15,,3,,1,Bogdanski Hausverwaltungs GmbH - V_Polygon 22.8 (A1) - verloren,V_Polygon 22.8,Steglitz-Zehlendorf,Steglitz
Bogdanski Hausverwaltungs GmbH,V_Polygon 139.3,,12053,Erlanger Straße 8,20,27,,1,,2,Bogdanski Hausverwaltungs GmbH - V_Polygon 139.4 (S1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Bona Fide Immobiliengesellschaft mbH,Cluster 83,,10585,Otto-Suhr-Allee 65A,9,12,,1,,,Bona Fide Immobiliengesellschaft mbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Borchert Hausverwaltungen,V_Polygon 80.1,,10559,Quitzowstraße 116,17,12,30,0,0,,Borchert Hausverwaltungen - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
Borchert Hausverwaltungen,Cluster 10,ABZ III,13587,Chamissostraße 1,11,10,9,2,1,1,Borchert Hausverwaltungen - Cluster 10 (N1) - verloren,Cluster 10,Spandau,Hakenfelde
Borchert Hausverwaltungen,Cluster 10,ABZ III,13587,Streitstraße 25,6,12,8,4,1,2,Borchert Hausverwaltungen - Cluster 10 (N1) - verloren,Cluster 10,Spandau,Hakenfelde
Bouchner Hausverwaltung GmbH,V_Polygon 6.1-3 (Ausdehnung),,14057,Holtzendorffstraße 18,17,12,12,2,2,2,BOUCHNER HAUSVERWALTUNG GMBH -  V_Polygon 6.1-3 (Ausdehnung) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Bouchner Hausverwaltung GmbH,V_Polygon 6.1-3 (Ausdehnung),,14057,Leonhardtstraße 14,6,12,12,2,2,2,BOUCHNER HAUSVERWALTUNG GMBH -  V_Polygon 6.1-3 (Ausdehnung) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Bredemeier Hausverwaltung,V_Polygon 32.2,,10247,Voigtstraße 12,13,20,,2,,3,BREDEMEIER HAUSVERWALTUNG - V_POLYGON 32.2 - 54 (S1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Bredemeier Hausverwaltung,V_Polygon 32.2,,10247,Bänschstraße 75,22,29,,1,,2,BREDEMEIER HAUSVERWALTUNG - V_POLYGON 32.2 - 54 (S1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Bredemeier Hausverwaltung,Polygon 6.0,,14057,Steifensandstraße 9,19,11,,1,,,Bredemeier Hausverwaltung -  Polygon 6.0 (A1) - 41 - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
BSW Berlin-Südwest Immobilienservice OHG,V_Polygon 22.4,ABZ IV,12159,Sponholzstraße 14A,8,8,8,0,0,,BSW Berlin-Südwest Immobilienservice OHG - Cluster 22 - 16 (A1) - verloren,V_Polygon 22.4,Tempelhof-Schöneberg,Schöneberg
BSW Berlin-Südwest Immobilienservice OHG,V_Polygon 22.4,ABZ IV,12159,Sponholzstraße 14,6,7,7,1,0,,BSW Berlin-Südwest Immobilienservice OHG - Cluster 22 - 16 (A1) - verloren,V_Polygon 22.4,Tempelhof-Schöneberg,Schöneberg
BSW Berlin-Südwest Immobilienservice OHG,Cluster 64,,12161,Schwalbacher Straße 14,7,14,14,0,0,,BSW Berlin-Südwest Immobilienservice OHG - Cluster 64 - 14 (A1) - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Büro Weißenborn GmbH,V_Polygon 139.2,,12045,Weichselplatz 6,41,39,,2,,2,BÜRO WEIßENBORN GMBH - V_POLYGON 139.2 - 77 (S1) - verloren,V_Polygon 139.2,Neukölln,Neukölln
Büro Weißenborn GmbH,V_Polygon 139.2,,12045,Weichselplatz 5,28,36,,0,,,BÜRO WEIßENBORN GMBH - V_POLYGON 139.2 - 77 (S1) - verloren,V_Polygon 139.2,Neukölln,Neukölln
BWH Berlin Wohnen Hausverwaltung GmbH,Cluster 05,ABZ IV,10717,Güntzelstraße 30,9,5,5,1,0,0,BWH Berlin Wohnen Hausverwaltung GmbH - Cluster 05 - 5 - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
BWH Berlin Wohnen Hausverwaltung GmbH,Cluster 04,ABZ III,10711,Joachim-Friedrich-Straße 25,18,,33,4,,,BWH Berlin Wohnen Hausverwaltung GmbH - Cluster 0004 - verloren,Cluster 04,Charlottenburg-Wilmersdorf,Halensee
Cardillo Grundbesitzmanagement,V_Polygon 80.2,,10551,Quitzowstraße 106,17,28,26,1,0,,Cardillo Grundbesitzmanagement - V_Polygon 80.2 - 26 (A1) - verloren,V_Polygon 80.2,Mitte,Moabit
Carl-Michael Mackensen und Marianne-Christiane Mackensen-Jaschke GbR,V_Polygon 139.5,,12053,Jonasstraße 37,16,,20,2,0,,Carl-Michael Mackensen und Marianne-Christiane Mackensen-Jaschke GbR - V_Polygon 139.5 - 20 (A1) - verloren,V_Polygon 139.5,Neukölln,Neukölln
Carmen Drößler - Hausverwaltung,V_Polygon 139.2,,12047,Pflügerstraße 80,11,10,,0,,2,Carmen Drößler - Hausverwaltung - V_Polygon 139.2 (S1) - verloren,V_Polygon 139.2,Neukölln,Neukölln
Carmen Drößler - Hausverwaltung,V_Polygon 139.2,,12047,Pflügerstraße 79,14,13,,1,,,Carmen Drößler - Hausverwaltung - V_Polygon 139.2 (S1) - verloren,V_Polygon 139.2,Neukölln,Neukölln
Carmen Drößler - Hausverwaltung,V_Polygon 139.2,,12047,Pflügerstraße 79A,11,11,,1,,1,Carmen Drößler - Hausverwaltung - V_Polygon 139.2 (S1) - verloren,V_Polygon 139.2,Neukölln,Neukölln
Carola Naumann Immobilien GmbH,V_Polygon 22.8,ABZ IV,12163,Markelstraße 41A,7,15,,2,,1,Carola Naumann Immobilien GmbH - Cluster 64 - verloren,V_Polygon 22.8,Steglitz-Zehlendorf,Steglitz
Carola Naumann Immobilien GmbH,V_Polygon 22.8,ABZ IV,12163,Markelstraße 41,16,11,,4,,1,Carola Naumann Immobilien GmbH - Cluster 64 - verloren,V_Polygon 22.8,Steglitz-Zehlendorf,Steglitz
Carola Naumann Immobilien GmbH,V_Polygon 2.5,ABZ IV,10823,Eisenacher Straße 66,19,21,,1,,,Carola Naumann Immobilien GmbH - Cluster 02 - verloren,V_Polygon 2.5,Tempelhof-Schöneberg,Schöneberg
Carola Naumann Immobilien GmbH,Cluster 83,ABZ III,10625,Schlüterstraße 4,14,12,,3,,,Carola Naumann Immobilien GmbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Carola Naumann Immobilien GmbH,Cluster 05,ABZ III,10713,Gieselerstraße 25,17,17,,1,,1,Carola Naumann Immobilien GmbH - Cluster 05 - 18 (S1) - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
CASTILLO Management GmbH & Co. KG,V_Polygon 6.1-3 (Ausdehnung),,14057,Kuno-Fischer-Straße 2,19,14,14,0,0,,CASTILLO Management GmbH & Co. KG - V_Polygon 6.2 - 14 (A1) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Centré Haus- und Grundbesitz Verwaltungs GmbH,Cluster 83,ABZ III,10627,Kantstraße 52,15,11,,4,,,Centré Haus- und Grundbesitz Verwaltungs GmbH - [P83.1-P83.2-P83.3] - (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Centré Haus- und Grundbesitz Verwaltungs GmbH,Cluster 83,ABZ III,10627,Krumme Straße 45,17,22,,0,,,Centré Haus- und Grundbesitz Verwaltungs GmbH - [P83.1-P83.2-P83.3] - (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Centro Liegenschaften GmbH,Polygon 3.4,ABZ IV,10719,Kurfürstendamm 217,0,4,4,28,28,28,CENTRO LIEGENSCHAFTEN GMBH - Polygon 3.4 - verloren,Polygon 3.4,Charlottenburg-Wilmersdorf,Charlottenburg
Centro Liegenschaften GmbH,Cluster 03,ABZ V,10719,Fasanenstraße 74,0,3,3,20,20,20,CENTRO LIEGENSCHAFTEN GMBH - Polygon 3.4 - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Charlottenburg
Centro Liegenschaften GmbH,Cluster 02,,10825,Freiherr-vom-Stein-Straße 8,16,,,0,,,Centro Liegenschaften GmbH - Cluster 02 - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
Centro Liegenschaften GmbH,Cluster 02,,10825,Freiherr-vom-Stein-Straße 9,17,,,0,,,Centro Liegenschaften GmbH - Cluster 02 - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
Certo HV & Service,V_Polygon 24.1,,10785,Kurfürstenstraße 34,17,20,,1,,,Certo HV & Service - V_Polygon 24.1 (A1) - verloren,V_Polygon 24.1,Mitte,Tiergarten
Christ & Co. GmbH,V_Polygon 6.1-3 (Ausdehnung),,14057,Dernburgstraße 4,17,23,23,1,0,,Christ & Co. GmbH - V_Polygon 6.2 - 46 (A1) - WEG - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Christ & Co. GmbH,V_Polygon 6.1-3 (Ausdehnung),,14057,Dernburgstraße 2,15,23,23,1,0,,Christ & Co. GmbH - V_Polygon 6.2 - 46 (A1) - WEG - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Christ & Co. GmbH,V_Polygon 22.8,ABZ IV,14197,Homburger Straße 49,8,12,12,1,0,,Christ & Co. GmbH - Cluster 22 - 71 (A1) - WEG - verloren,V_Polygon 22.8,Charlottenburg-Wilmersdorf,Wilmersdorf
Christ & Co. GmbH,V_Polygon 22.8,ABZ IV,14197,Homburger Straße 49A,9,10,35,0,,,Christ & Co. GmbH - Cluster 22 - 71 (A1) - WEG - verloren,V_Polygon 22.8,Charlottenburg-Wilmersdorf,Wilmersdorf
Christ & Co. GmbH,V_Polygon 22.8,ABZ IV,14197,Homburger Straße 51,9,12,12,0,0,,Christ & Co. GmbH - Cluster 22 - 71 (A1) - WEG - verloren,V_Polygon 22.8,Charlottenburg-Wilmersdorf,Wilmersdorf
Christ & Co. GmbH,V_Polygon 22.8,ABZ IV,14197,Homburger Straße 53,11,12,12,1,0,,Christ & Co. GmbH - Cluster 22 - 71 (A1) - WEG - verloren,V_Polygon 22.8,Charlottenburg-Wilmersdorf,Wilmersdorf
Christ & Co. GmbH,V_Polygon 22.8,ABZ IV,14197,Schlangenbader Straße 84,13,12,12,1,0,,Christ & Co. GmbH - Cluster 22 - 71 (A1) - WEG - verloren,V_Polygon 22.8,Charlottenburg-Wilmersdorf,Wilmersdorf
Christ & Co. GmbH,V_Polygon 22.8,ABZ IV,14197,Binger Straße 16,9,13,13,1,0,2,Christ & Co. GmbH - Cluster 22 - 71 (A1) - WEG - verloren,V_Polygon 22.8,Charlottenburg-Wilmersdorf,Wilmersdorf
Christ & Co. GmbH,Polygon 1.2,ABZ IV,10781,Luitpoldstraße 7,22,41,41,1,0,,Christ & Co. GmbH - Cluster 01 - WEG - verloren,Polygon 1.2,Tempelhof-Schöneberg,Schöneberg
Christ & Co. GmbH,Polygon 1.2,ABZ IV,10781,Eisenacher Straße 105,19,41,41,0,0,,Christ & Co. GmbH - Cluster 01 - WEG - verloren,Polygon 1.2,Tempelhof-Schöneberg,Schöneberg
Christ & Co. GmbH,Cluster 83,ABZ III,10587,Cauerstraße 34,11,16,16,2,0,,Christ & Co. GmbH - Cluster 83.123 - (N1) - Frau Lotis  - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Christ & Co. GmbH,Cluster 83,ABZ III,10587,Wintersteinstraße 13,12,16,16,1,0,,Christ & Co. GmbH - Cluster 83.123 - (N1) - Frau Lotis  - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Christ & Co. GmbH,Cluster 83,ABZ III,10587,Wintersteinstraße 11,14,16,16,0,0,,Christ & Co. GmbH - Cluster 83.123 - (N1) - Frau Lotis  - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Christ & Co. GmbH,Cluster 83,ABZ III,10587,Galvanistraße 15,46,39,39,3,0,,Christ & Co. GmbH - Cluster 83.123 - (N1) - Frau Lotis  - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Christ & Co. GmbH,Cluster 83,ABZ III,10585,Haubachstraße 4,13,11,11,1,0,,Christ & Co. GmbH - Cluster 83.123 - (N1) - WEG - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Christ & Co. GmbH,Cluster 83,ABZ III,10585,Wilmersdorfer Straße 161,12,15,15,0,0,,Christ & Co. GmbH - Cluster 83.123 - (N1) - WEG - 15- verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Christ & Co. GmbH,Cluster 21,,10711,Storkwinkel 12,0,10,10,0,0,,Christ & Co. GmbH - Cluster 21 - WEG - verloren,Cluster 21,Charlottenburg-Wilmersdorf,Halensee
Christ & Co. GmbH,Cluster 05,ABZ III,10715,Detmolder Straße 9,26,33,33,0,0,,Christ & Co. GmbH - Cluster 0005 - (N1) - WEG - Frau Motael - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
Christ & Co. GmbH,Cluster 05,ABZ III,10715,Berliner Straße 143,17,19,17,1,2,,Christ & Co. GmbH - Cluster 0005 - (N1) - WEG - Frau Hundelshausen - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
Christian Voigtländer GmbH,Cluster 02,,10779,Prager Straße 2A,16,15,,1,,,Christian Voigtländer GmbH - Cluster 02 - verloren,Cluster 02,Charlottenburg-Wilmersdorf,Wilmersdorf
Christian Voigtländer GmbH,Cluster 02,,10779,Prager Straße 2,16,18,,2,,,Christian Voigtländer GmbH - Cluster 02 - verloren,Cluster 02,Charlottenburg-Wilmersdorf,Wilmersdorf
Christina Blumrath (Hausratsmitglied),V_Polygon 139.1-5 (Ausdehnung),,12047,Weserstraße 6,20,15,,0,,2,Christina Blumrath HAUS RATT MITGLIED - V_Polygon 139.2 (S1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
ClaX - Hausverwaltung GmbH,V_Polygon 22.4,ABZ IV,12161,Dickhardtstraße 38,8,16,13,1,0,,ClaX - Hausverwaltung GmbH - Cluster 64 - verloren,V_Polygon 22.4,Tempelhof-Schöneberg,Friedenau
ClaX - Hausverwaltung GmbH,Cluster 10,ABZ III,13587,Goltzstraße 66,11,11,11,0,0,,ClaX - Hausverwaltung GmbH - Cluster 10 (N1) - verloren,Cluster 10,Spandau,Hakenfelde
ClaX - Hausverwaltung GmbH,Cluster 04,ABZ III,10711,Seesener Straße 28,12,,16,0,0,,ClaX - Hausverwaltung GmbH - Cluster 04 (N1) - verloren,Cluster 04,Charlottenburg-Wilmersdorf,Halensee
cob Hausverwaltung GmbH,Cluster 83,ABZ III,10585,Wilmersdorfer Straße 163,14,23,34,2,4,2,cob Hausverwaltung GmbH - Cluster 83 (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
cob Hausverwaltung GmbH,Cluster 83,ABZ III,10627,Pestalozzistraße 76,10,11,,1,,,cob Hausverwaltung GmbH - Cluster 83 (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Comfort Plus Hausverwaltung,V_Polygon 80.1-2 (Ausdehnung),,10555,Essener Straße 9,34,44,,2,,,Comfort Plus Hausverwaltung - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Conforma Immobilien-Management GmbH,V_Polygon 91.2,,13353,Müllerstraße 163B,3,0,0,7,11,7,CONFORMA IMMOBILIEN-MANAGEMENT GMBH - V_Polygon 91.2 - 7 - B2B - verloren,V_Polygon 91.2,Mitte,Wedding
CREDERE Hausverwaltung GmbH,Polygon 6.0,,14057,Suarezstraße 13,3,12,41,2,0,,Bredemeier Hausverwaltung -  Polygon 6.0 (A1) - 41 - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
CR Hausverwaltung GmbH,V_Polygon 80.2,,10551,Turmstraße 70,24,49,,21,,,CR HV GmbH - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.2,Mitte,Moabit
CR Hausverwaltung GmbH,V_Polygon 80.2,,10555,Zwinglistraße 11,11,14,,0,,,CR HV GmbH - V_Polygon 80.2 (A1) -14 - verloren,V_Polygon 80.2,Mitte,Moabit
CR Hausverwaltung GmbH,V_Polygon 32.1 (Ausdehnung),,10245,Wühlischstraße 22,27,24,,1,,2,CR Hausverwaltung GmbH - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
CR Hausverwaltung GmbH,V_Polygon 32.1 (Ausdehnung),,10245,Gärtnerstraße 5,13,18,,1,,2,CR Hausverwaltung GmbH - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
CR Hausverwaltung GmbH,Cluster 83,ABZ III,10627,Kantstraße 109,29,28,,1,,,CR HV GmbH - Cluster 83 (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
CR Hausverwaltung GmbH,Cluster 83,ABZ III,10627,Pestalozzistraße 34,28,37,,3,,,CR HV GmbH - Cluster 83 (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
DAIROS Property Management GmbH,V_Polygon 2.5,ABZ IV,10825,Koburger Straße 16,10,12,12,0,0,,DAIROS Property Management GmbH - V_Polygon 2.5 (M1) - verloren,V_Polygon 2.5,Tempelhof-Schöneberg,Schöneberg
DAIROS Property Management GmbH,V_Polygon 2.5,ABZ IV,10825,Heylstraße 1,7,11,10,1,0,,DAIROS Property Management GmbH - V_Polygon 2.5 (M1) - verloren,V_Polygon 2.5,Tempelhof-Schöneberg,Schöneberg
DARNA Immobilien GmbH,V_Polygon 80.2,,10551,Bredowstraße 41,20,30,30,1,0,,DARNA Immobilien GmbH - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.2,Mitte,Moabit
DARNA Immobilien GmbH,V_Polygon 80.1-2 (Ausdehnung),,10555,Krefelder Straße 8,18,14,14,2,0,,DARNA Immobilien GmbH - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
DARNA Immobilien GmbH,V_Polygon 6.1-3 (Ausdehnung),,10585,Wulfsheinstraße 5,6,12,12,0,0,,DARNA Immobilien GmbH - V_Polygon 6.3 - 12 (S1) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
DARNA Immobilien GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Kinzigstraße 30,11,,10,1,0,,DARNA Immobilien GmbH - V_Polygon 32.1 (Ausdehnung) (M1) - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
DARNA Immobilien GmbH,V_Polygon 22.4,ABZ IV,12159,Fregestraße 23A,2,16,16,2,0,1,DARNA Immobilien GmbH - V_Polygon 22.4 (A1) - verloren,V_Polygon 22.4,Tempelhof-Schöneberg,Friedenau
DARNA Immobilien GmbH,V_Polygon 22.4,ABZ IV,12159,Fregestraße 23,10,5,5,2,0,,DARNA Immobilien GmbH - V_Polygon 22.4 (A1) - 5 - verloren,V_Polygon 22.4,Tempelhof-Schöneberg,Friedenau
DARNA Immobilien GmbH,V_Polygon 139.3,,12043,Donaustraße 9,17,18,18,0,0,,DARNA Immobilien GmbH - V_POLYGON 139.3 - 18 (S1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
DARNA Immobilien GmbH,Cluster 83,ABZ III,10623,Grolmanstraße 18,20,19,19,1,0,,DARNA Immobilien GmbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
DARNA Immobilien GmbH,Cluster 22,,12159,Hähnelstraße 9,6,9,9,2,0,,DARNA Immobilien GmbH - Cluster 22 - 53 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
DARNA Immobilien GmbH,Cluster 22,,12159,Elsastraße 3,8,8,9,1,0,,DARNA Immobilien GmbH - Cluster 22 - 18 (M1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
DARNA Immobilien GmbH,Cluster 22,,12159,Cosimaplatz 1,11,9,9,0,0,,DARNA Immobilien GmbH - Cluster 22 - 18 (M1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
DARNA Immobilien GmbH,Cluster 22,,12161,Bachestraße 3,5,10,10,1,0,,DARNA Immobilien GmbH - Cluster 22 - 53 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
DARNA Immobilien GmbH,Cluster 22,,12159,Bennigsenstraße 26,9,12,12,0,0,,DARNA Immobilien GmbH - Cluster 22 - 12 - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
DARNA Immobilien GmbH,Cluster 22,,12161,Wilhelmshöher Straße 4,8,22,22,2,0,,DARNA Immobilien GmbH - Cluster 22 - 22 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
DARNA Immobilien GmbH,Cluster 05,ABZ IV,10717,Gasteiner Straße 3,25,,,3,,,DARNA Immobilien GmbH - Cluster 05 - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
David Hausverwaltung GmbH,Polygon 1.1,ABZ IV,10777,Ansbacher Straße 72,28,32,,2,,,David Hausverwaltung GmbH -  Polygon 1.1 - verloren,Polygon 1.1,Tempelhof-Schöneberg,Schöneberg
DCM Immobilien GmbH & Co. KG,V_Polygon 75.3 (Vorvermarktung abgebrochen),,10117,Oranienburger Straße 27,45,45,45,28,0,0,DCM IMMOBILIEN GMBH & CO. KG - 0075 - 45 - verloren,V_Polygon 75.3 (Vorvermarktung abgebrochen),Mitte,Mitte
DEPA Immobilien Management GmbH,V_Polygon 2.5,,10823,Meininger Straße 11,30,42,,1,,,DEPA Immobilien Management GmbH - Cluster 02 - verloren,V_Polygon 2.5,Tempelhof-Schöneberg,Schöneberg
Desino Gebäudemanagement GmbH,V_Polygon 91.2,,13353,Sparrstraße 25,24,24,24,1,1,1,DESINO GEBÄUDEMANAGEMENT GMBH - 0091 - 24 - verloren,V_Polygon 91.2,Mitte,Wedding
Desino Gebäudemanagement GmbH,V_Polygon 139.2,,12047,Friedelstraße 41,13,10,10,0,0,0,Desino Gebäudemanagement GmbH - V_Polygon 139.2 - verloren,V_Polygon 139.2,Neukölln,Neukölln
Desino Gebäudemanagement GmbH,V_Polygon 139.2,,12047,Pflügerstraße 70,10,10,10,2,0,0,Desino Gebäudemanagement GmbH - V_Polygon 139.2 - verloren,V_Polygon 139.2,Neukölln,Neukölln
